Frage,Antwort
What is the resolution of the front camera on Acer Liquid Z6 Plus?,13 MP| autofocus| LED flash
How many megapixels is the front camera on Acer Liquid Z6 Plus?,13 MP| autofocus| LED flash
What is the quality of the front-facing camera on Acer Liquid Z6 Plus?,13 MP| autofocus| LED flash
What is the price of Acer Liquid Z6 Plus?,250.0
How much does Acer Liquid Z6 Plus cost?,250.0
What is the price tag of Acer Liquid Z6 Plus?,250.0
What is the published year of Acer Liquid Z6?,2016
When was Acer Liquid Z6 published?,2016
In which year was Acer Liquid Z6 released?,2016
What is the display resolution of Acer Liquid Z6?,5.0 inches
What is the resolution of the display on Acer Liquid Z6?,5.0 inches
How many pixels does the display of Acer Liquid Z6 have?,5.0 inches
What is the display size of Acer Liquid Z6?,720 x 1280 pixels 
How big is the display on Acer Liquid Z6?,720 x 1280 pixels 
What is the diagonal size of the display on Acer Liquid Z6?,720 x 1280 pixels 
What is the operating system of Acer Liquid Z6?,Android 6.0 
Which operating system does Acer Liquid Z6 use?,Android 6.0 
What is the software platform on Acer Liquid Z6?,Android 6.0 
What is the CPU of Acer Liquid Z6?,Quad-core 1.25 GHz Cortex-A53
What kind of processor does Acer Liquid Z6 have?,Quad-core 1.25 GHz Cortex-A53
Which CPU is used in Acer Liquid Z6?,Quad-core 1.25 GHz Cortex-A53
How much RAM does Acer Liquid Z6 have?,8 GB
What is the memory capacity of Acer Liquid Z6?,8 GB
What is the RAM size on Acer Liquid Z6?,8 GB
What is the resolution of the front camera on Acer Liquid Z6?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Acer Liquid Z6?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Acer Liquid Z6?,8 MP| autofocus| LED flash
What is the price of Acer Liquid Z6?,120.0
How much does Acer Liquid Z6 cost?,120.0
What is the price tag of Acer Liquid Z6?,120.0
What is the published year of Acer Iconia Tab 10 A3-A40?,2016
When was Acer Iconia Tab 10 A3-A40 published?,2016
In which year was Acer Iconia Tab 10 A3-A40 released?,2016
What is the display resolution of Acer Iconia Tab 10 A3-A40?,10.1 inches 
What is the resolution of the display on Acer Iconia Tab 10 A3-A40?,10.1 inches 
How many pixels does the display of Acer Iconia Tab 10 A3-A40 have?,10.1 inches 
What is the display size of Acer Iconia Tab 10 A3-A40?,1920 x 1200 pixels 
How big is the display on Acer Iconia Tab 10 A3-A40?,1920 x 1200 pixels 
What is the diagonal size of the display on Acer Iconia Tab 10 A3-A40?,1920 x 1200 pixels 
What is the operating system of Acer Iconia Tab 10 A3-A40?,Android 6.0 
Which operating system does Acer Iconia Tab 10 A3-A40 use?,Android 6.0 
What is the software platform on Acer Iconia Tab 10 A3-A40?,Android 6.0 
What is the CPU of Acer Iconia Tab 10 A3-A40?,Quad-core 1.3 GHz Cortex-A53
What kind of processor does Acer Iconia Tab 10 A3-A40 have?,Quad-core 1.3 GHz Cortex-A53
Which CPU is used in Acer Iconia Tab 10 A3-A40?,Quad-core 1.3 GHz Cortex-A53
How much RAM does Acer Iconia Tab 10 A3-A40 have?,16/32/64 GB
What is the memory capacity of Acer Iconia Tab 10 A3-A40?,16/32/64 GB
What is the RAM size on Acer Iconia Tab 10 A3-A40?,16/32/64 GB
What is the resolution of the front camera on Acer Iconia Tab 10 A3-A40?,5 MP
How many megapixels is the front camera on Acer Iconia Tab 10 A3-A40?,5 MP
What is the quality of the front-facing camera on Acer Iconia Tab 10 A3-A40?,5 MP
What is the price of Acer Iconia Tab 10 A3-A40?,230.0
How much does Acer Iconia Tab 10 A3-A40 cost?,230.0
What is the price tag of Acer Iconia Tab 10 A3-A40?,230.0
What is the published year of Acer Liquid X2?,2015
When was Acer Liquid X2 published?,2015
In which year was Acer Liquid X2 released?,2015
What is the display resolution of Acer Liquid X2?,5.5 inches 
What is the resolution of the display on Acer Liquid X2?,5.5 inches 
How many pixels does the display of Acer Liquid X2 have?,5.5 inches 
What is the display size of Acer Liquid X2?,720 x 1280 pixels 
How big is the display on Acer Liquid X2?,720 x 1280 pixels 
What is the diagonal size of the display on Acer Liquid X2?,720 x 1280 pixels 
What is the operating system of Acer Liquid X2?,Android 5.1 
Which operating system does Acer Liquid X2 use?,Android 5.1 
What is the software platform on Acer Liquid X2?,Android 5.1 
What is the CPU of Acer Liquid X2?,Octa-core 1.3 GHz Cortex-A53
What kind of processor does Acer Liquid X2 have?,Octa-core 1.3 GHz Cortex-A53
Which CPU is used in Acer Liquid X2?,Octa-core 1.3 GHz Cortex-A53
How much RAM does Acer Liquid X2 have?,32 GB
What is the memory capacity of Acer Liquid X2?,32 GB
What is the RAM size on Acer Liquid X2?,32 GB
What is the resolution of the front camera on Acer Liquid X2?,13 MP| f/1.8| autofocus| LED flash| 
How many megapixels is the front camera on Acer Liquid X2?,13 MP| f/1.8| autofocus| LED flash| 
What is the quality of the front-facing camera on Acer Liquid X2?,13 MP| f/1.8| autofocus| LED flash| 
What is the price of Acer Liquid X2?,230.0
How much does Acer Liquid X2 cost?,230.0
What is the price tag of Acer Liquid X2?,230.0
What is the published year of Acer Liquid Zest Plus?,2016
When was Acer Liquid Zest Plus published?,2016
In which year was Acer Liquid Zest Plus released?,2016
What is the display resolution of Acer Liquid Zest Plus?,5.5 inches 
What is the resolution of the display on Acer Liquid Zest Plus?,5.5 inches 
How many pixels does the display of Acer Liquid Zest Plus have?,5.5 inches 
What is the display size of Acer Liquid Zest Plus?,720 x 1280 pixels 
How big is the display on Acer Liquid Zest Plus?,720 x 1280 pixels 
What is the diagonal size of the display on Acer Liquid Zest Plus?,720 x 1280 pixels 
What is the operating system of Acer Liquid Zest Plus?,Android 6.0 
Which operating system does Acer Liquid Zest Plus use?,Android 6.0 
What is the software platform on Acer Liquid Zest Plus?,Android 6.0 
What is the CPU of Acer Liquid Zest Plus?,Quad-core 1.3 GHz Cortex-A53
What kind of processor does Acer Liquid Zest Plus have?,Quad-core 1.3 GHz Cortex-A53
Which CPU is used in Acer Liquid Zest Plus?,Quad-core 1.3 GHz Cortex-A53
How much RAM does Acer Liquid Zest Plus have?,16 GB
What is the memory capacity of Acer Liquid Zest Plus?,16 GB
What is the RAM size on Acer Liquid Zest Plus?,16 GB
What is the resolution of the front camera on Acer Liquid Zest Plus?,13 MP| phase detection/laser autofocus| LED flash
How many megapixels is the front camera on Acer Liquid Zest Plus?,13 MP| phase detection/laser autofocus| LED flash
What is the quality of the front-facing camera on Acer Liquid Zest Plus?,13 MP| phase detection/laser autofocus| LED flash
What is the price of Acer Liquid Zest Plus?,200.0
How much does Acer Liquid Zest Plus cost?,200.0
What is the price tag of Acer Liquid Zest Plus?,200.0
What is the published year of Acer Liquid Zest?,2016
When was Acer Liquid Zest published?,2016
In which year was Acer Liquid Zest released?,2016
What is the display resolution of Acer Liquid Zest?,5.0 inches 
What is the resolution of the display on Acer Liquid Zest?,5.0 inches 
How many pixels does the display of Acer Liquid Zest have?,5.0 inches 
What is the display size of Acer Liquid Zest?,720 x 1280 pixels 
How big is the display on Acer Liquid Zest?,720 x 1280 pixels 
What is the diagonal size of the display on Acer Liquid Zest?,720 x 1280 pixels 
What is the operating system of Acer Liquid Zest?,Android 6.0 
Which operating system does Acer Liquid Zest use?,Android 6.0 
What is the software platform on Acer Liquid Zest?,Android 6.0 
What is the CPU of Acer Liquid Zest?,Quad-core 1.3 GHz - Z525
What kind of processor does Acer Liquid Zest have?,Quad-core 1.3 GHz - Z525
Which CPU is used in Acer Liquid Zest?,Quad-core 1.3 GHz - Z525
How much RAM does Acer Liquid Zest have?,8 GB
What is the memory capacity of Acer Liquid Zest?,8 GB
What is the RAM size on Acer Liquid Zest?,8 GB
What is the resolution of the front camera on Acer Liquid Zest?,8 MP| f/2.0| autofocus| LED flash
How many megapixels is the front camera on Acer Liquid Zest?,8 MP| f/2.0| autofocus| LED flash
What is the quality of the front-facing camera on Acer Liquid Zest?,8 MP| f/2.0| autofocus| LED flash
What is the price of Acer Liquid Zest?,110.0
How much does Acer Liquid Zest cost?,110.0
What is the price tag of Acer Liquid Zest?,110.0
What is the published year of Acer Predator 8?,2015
When was Acer Predator 8 published?,2015
In which year was Acer Predator 8 released?,2015
What is the display resolution of Acer Predator 8?,8.0 inches 
What is the resolution of the display on Acer Predator 8?,8.0 inches 
How many pixels does the display of Acer Predator 8 have?,8.0 inches 
What is the display size of Acer Predator 8?,1920 x 1200 pixels 
How big is the display on Acer Predator 8?,1920 x 1200 pixels 
What is the diagonal size of the display on Acer Predator 8?,1920 x 1200 pixels 
What is the operating system of Acer Predator 8?,Android 5.0 
Which operating system does Acer Predator 8 use?,Android 5.0 
What is the software platform on Acer Predator 8?,Android 5.0 
What is the CPU of Acer Predator 8?,Quad-core 1.6 GHz
What kind of processor does Acer Predator 8 have?,Quad-core 1.6 GHz
Which CPU is used in Acer Predator 8?,Quad-core 1.6 GHz
How much RAM does Acer Predator 8 have?,32/64 GB
What is the memory capacity of Acer Predator 8?,32/64 GB
What is the RAM size on Acer Predator 8?,32/64 GB
What is the resolution of the front camera on Acer Predator 8?,5 MP
How many megapixels is the front camera on Acer Predator 8?,5 MP
What is the quality of the front-facing camera on Acer Predator 8?,5 MP
What is the price of Acer Predator 8?,350.0
How much does Acer Predator 8 cost?,350.0
What is the price tag of Acer Predator 8?,350.0
What is the published year of Acer Liquid Jade Primo?,2015
When was Acer Liquid Jade Primo published?,2015
In which year was Acer Liquid Jade Primo released?,2015
What is the display resolution of Acer Liquid Jade Primo?,5.5 inches 
What is the resolution of the display on Acer Liquid Jade Primo?,5.5 inches 
How many pixels does the display of Acer Liquid Jade Primo have?,5.5 inches 
What is the display size of Acer Liquid Jade Primo?,1080 x 1920 pixels 
How big is the display on Acer Liquid Jade Primo?,1080 x 1920 pixels 
What is the diagonal size of the display on Acer Liquid Jade Primo?,1080 x 1920 pixels 
What is the operating system of Acer Liquid Jade Primo?,Microsoft Windows 10
Which operating system does Acer Liquid Jade Primo use?,Microsoft Windows 10
What is the software platform on Acer Liquid Jade Primo?,Microsoft Windows 10
What is the CPU of Acer Liquid Jade Primo?,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)
What kind of processor does Acer Liquid Jade Primo have?,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)
Which CPU is used in Acer Liquid Jade Primo?,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)
How much RAM does Acer Liquid Jade Primo have?,32 GB
What is the memory capacity of Acer Liquid Jade Primo?,32 GB
What is the RAM size on Acer Liquid Jade Primo?,32 GB
What is the resolution of the front camera on Acer Liquid Jade Primo?,21 MP| f/2.2| autofocus| dual-LED flash| 
How many megapixels is the front camera on Acer Liquid Jade Primo?,21 MP| f/2.2| autofocus| dual-LED flash| 
What is the quality of the front-facing camera on Acer Liquid Jade Primo?,21 MP| f/2.2| autofocus| dual-LED flash| 
What is the price of Acer Liquid Jade Primo?,220.0
How much does Acer Liquid Jade Primo cost?,220.0
What is the price tag of Acer Liquid Jade Primo?,220.0
What is the published year of Acer Liquid Z330?,2015
When was Acer Liquid Z330 published?,2015
In which year was Acer Liquid Z330 released?,2015
What is the display resolution of Acer Liquid Z330?,4.5 inches 
What is the resolution of the display on Acer Liquid Z330?,4.5 inches 
How many pixels does the display of Acer Liquid Z330 have?,4.5 inches 
What is the display size of Acer Liquid Z330?,480 x 854 pixels 
How big is the display on Acer Liquid Z330?,480 x 854 pixels 
What is the diagonal size of the display on Acer Liquid Z330?,480 x 854 pixels 
What is the operating system of Acer Liquid Z330?,Android 5.1 
Which operating system does Acer Liquid Z330 use?,Android 5.1 
What is the software platform on Acer Liquid Z330?,Android 5.1 
What is the CPU of Acer Liquid Z330?,Quad-core 1.1 GHz Cortex-A7
What kind of processor does Acer Liquid Z330 have?,Quad-core 1.1 GHz Cortex-A7
Which CPU is used in Acer Liquid Z330?,Quad-core 1.1 GHz Cortex-A7
How much RAM does Acer Liquid Z330 have?,8 GB
What is the memory capacity of Acer Liquid Z330?,8 GB
What is the RAM size on Acer Liquid Z330?,8 GB
What is the resolution of the front camera on Acer Liquid Z330?,5 MP| autofocus| LED flash
How many megapixels is the front camera on Acer Liquid Z330?,5 MP| autofocus| LED flash
What is the quality of the front-facing camera on Acer Liquid Z330?,5 MP| autofocus| LED flash
What is the price of Acer Liquid Z330?,110.0
How much does Acer Liquid Z330 cost?,110.0
What is the price tag of Acer Liquid Z330?,110.0
What is the published year of Acer Liquid Z320?,2015
When was Acer Liquid Z320 published?,2015
In which year was Acer Liquid Z320 released?,2015
What is the display resolution of Acer Liquid Z320?,4.5 inches 
What is the resolution of the display on Acer Liquid Z320?,4.5 inches 
How many pixels does the display of Acer Liquid Z320 have?,4.5 inches 
What is the display size of Acer Liquid Z320?,480 x 854 pixels 
How big is the display on Acer Liquid Z320?,480 x 854 pixels 
What is the diagonal size of the display on Acer Liquid Z320?,480 x 854 pixels 
What is the operating system of Acer Liquid Z320?,Android 5.1 
Which operating system does Acer Liquid Z320 use?,Android 5.1 
What is the software platform on Acer Liquid Z320?,Android 5.1 
What is the CPU of Acer Liquid Z320?,Quad-core 1.0 GHz Cortex-A7
What kind of processor does Acer Liquid Z320 have?,Quad-core 1.0 GHz Cortex-A7
Which CPU is used in Acer Liquid Z320?,Quad-core 1.0 GHz Cortex-A7
How much RAM does Acer Liquid Z320 have?,8 GB
What is the memory capacity of Acer Liquid Z320?,8 GB
What is the RAM size on Acer Liquid Z320?,8 GB
What is the resolution of the front camera on Acer Liquid Z320?,5 MP| autofocus| LED flash
How many megapixels is the front camera on Acer Liquid Z320?,5 MP| autofocus| LED flash
What is the quality of the front-facing camera on Acer Liquid Z320?,5 MP| autofocus| LED flash
What is the price of Acer Liquid Z320?,90.0
How much does Acer Liquid Z320 cost?,90.0
What is the price tag of Acer Liquid Z320?,90.0
What is the published year of Acer Liquid Z630?,2015
When was Acer Liquid Z630 published?,2015
In which year was Acer Liquid Z630 released?,2015
What is the display resolution of Acer Liquid Z630?,5.5 inches 
What is the resolution of the display on Acer Liquid Z630?,5.5 inches 
How many pixels does the display of Acer Liquid Z630 have?,5.5 inches 
What is the display size of Acer Liquid Z630?,720 x 1280 pixels 
How big is the display on Acer Liquid Z630?,720 x 1280 pixels 
What is the diagonal size of the display on Acer Liquid Z630?,720 x 1280 pixels 
What is the operating system of Acer Liquid Z630?,Android 5.1 
Which operating system does Acer Liquid Z630 use?,Android 5.1 
What is the software platform on Acer Liquid Z630?,Android 5.1 
What is the CPU of Acer Liquid Z630?,Quad-core 1.3 GHz Cortex-A53
What kind of processor does Acer Liquid Z630 have?,Quad-core 1.3 GHz Cortex-A53
Which CPU is used in Acer Liquid Z630?,Quad-core 1.3 GHz Cortex-A53
How much RAM does Acer Liquid Z630 have?,8 GB
What is the memory capacity of Acer Liquid Z630?,8 GB
What is the RAM size on Acer Liquid Z630?,8 GB
What is the resolution of the front camera on Acer Liquid Z630?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Acer Liquid Z630?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Acer Liquid Z630?,8 MP| autofocus| LED flash
What is the price of Acer Liquid Z630?,200.0
How much does Acer Liquid Z630 cost?,200.0
What is the price tag of Acer Liquid Z630?,200.0
What is the published year of Acer Liquid Z530?,2015
When was Acer Liquid Z530 published?,2015
In which year was Acer Liquid Z530 released?,2015
What is the display resolution of Acer Liquid Z530?,5.0 inches 
What is the resolution of the display on Acer Liquid Z530?,5.0 inches 
How many pixels does the display of Acer Liquid Z530 have?,5.0 inches 
What is the display size of Acer Liquid Z530?,720 x 1280 pixels 
How big is the display on Acer Liquid Z530?,720 x 1280 pixels 
What is the diagonal size of the display on Acer Liquid Z530?,720 x 1280 pixels 
What is the operating system of Acer Liquid Z530?,Android 5.1 
Which operating system does Acer Liquid Z530 use?,Android 5.1 
What is the software platform on Acer Liquid Z530?,Android 5.1 
What is the CPU of Acer Liquid Z530?,Quad-core 1.3 GHz Cortex-A53
What kind of processor does Acer Liquid Z530 have?,Quad-core 1.3 GHz Cortex-A53
Which CPU is used in Acer Liquid Z530?,Quad-core 1.3 GHz Cortex-A53
How much RAM does Acer Liquid Z530 have?,8 GB
What is the memory capacity of Acer Liquid Z530?,8 GB
What is the RAM size on Acer Liquid Z530?,8 GB
What is the resolution of the front camera on Acer Liquid Z530?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Acer Liquid Z530?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Acer Liquid Z530?,8 MP| autofocus| LED flash
What is the price of Acer Liquid Z530?,150.0
How much does Acer Liquid Z530 cost?,150.0
What is the price tag of Acer Liquid Z530?,150.0
What is the published year of Acer Iconia Tab 10 A3-A30?,2015
When was Acer Iconia Tab 10 A3-A30 published?,2015
In which year was Acer Iconia Tab 10 A3-A30 released?,2015
What is the display resolution of Acer Iconia Tab 10 A3-A30?,10.1 inches 
What is the resolution of the display on Acer Iconia Tab 10 A3-A30?,10.1 inches 
How many pixels does the display of Acer Iconia Tab 10 A3-A30 have?,10.1 inches 
What is the display size of Acer Iconia Tab 10 A3-A30?,1920 x 1200 pixels 
How big is the display on Acer Iconia Tab 10 A3-A30?,1920 x 1200 pixels 
What is the diagonal size of the display on Acer Iconia Tab 10 A3-A30?,1920 x 1200 pixels 
What is the operating system of Acer Iconia Tab 10 A3-A30?,Android 5.0 
Which operating system does Acer Iconia Tab 10 A3-A30 use?,Android 5.0 
What is the software platform on Acer Iconia Tab 10 A3-A30?,Android 5.0 
What is the CPU of Acer Iconia Tab 10 A3-A30?,Quad-core 1.33 GHz
What kind of processor does Acer Iconia Tab 10 A3-A30 have?,Quad-core 1.33 GHz
Which CPU is used in Acer Iconia Tab 10 A3-A30?,Quad-core 1.33 GHz
How much RAM does Acer Iconia Tab 10 A3-A30 have?,16/32/64 GB
What is the memory capacity of Acer Iconia Tab 10 A3-A30?,16/32/64 GB
What is the RAM size on Acer Iconia Tab 10 A3-A30?,16/32/64 GB
What is the resolution of the front camera on Acer Iconia Tab 10 A3-A30?,5 MP
How many megapixels is the front camera on Acer Iconia Tab 10 A3-A30?,5 MP
What is the quality of the front-facing camera on Acer Iconia Tab 10 A3-A30?,5 MP
What is the price of Acer Iconia Tab 10 A3-A30?,250.0
How much does Acer Iconia Tab 10 A3-A30 cost?,250.0
What is the price tag of Acer Iconia Tab 10 A3-A30?,250.0
What is the published year of Acer Iconia One 8 B1-820?,2015
When was Acer Iconia One 8 B1-820 published?,2015
In which year was Acer Iconia One 8 B1-820 released?,2015
What is the display resolution of Acer Iconia One 8 B1-820?,8.0 inches 
What is the resolution of the display on Acer Iconia One 8 B1-820?,8.0 inches 
How many pixels does the display of Acer Iconia One 8 B1-820 have?,8.0 inches 
What is the display size of Acer Iconia One 8 B1-820?,800 x 1280 pixels 
How big is the display on Acer Iconia One 8 B1-820?,800 x 1280 pixels 
What is the diagonal size of the display on Acer Iconia One 8 B1-820?,800 x 1280 pixels 
What is the operating system of Acer Iconia One 8 B1-820?,Android 5.0 
Which operating system does Acer Iconia One 8 B1-820 use?,Android 5.0 
What is the software platform on Acer Iconia One 8 B1-820?,Android 5.0 
What is the CPU of Acer Iconia One 8 B1-820?,Quad-core 1.33 GHz
What kind of processor does Acer Iconia One 8 B1-820 have?,Quad-core 1.33 GHz
Which CPU is used in Acer Iconia One 8 B1-820?,Quad-core 1.33 GHz
How much RAM does Acer Iconia One 8 B1-820 have?,16/32 GB
What is the memory capacity of Acer Iconia One 8 B1-820?,16/32 GB
What is the RAM size on Acer Iconia One 8 B1-820?,16/32 GB
What is the resolution of the front camera on Acer Iconia One 8 B1-820?,5 MP
How many megapixels is the front camera on Acer Iconia One 8 B1-820?,5 MP
What is the quality of the front-facing camera on Acer Iconia One 8 B1-820?,5 MP
What is the price of Acer Iconia One 8 B1-820?,180.0
How much does Acer Iconia One 8 B1-820 cost?,180.0
What is the price tag of Acer Iconia One 8 B1-820?,180.0
What is the published year of Acer Iconia Tab A3-A20?,2014
When was Acer Iconia Tab A3-A20 published?,2014
In which year was Acer Iconia Tab A3-A20 released?,2014
What is the display resolution of Acer Iconia Tab A3-A20?,10.1 inches 
What is the resolution of the display on Acer Iconia Tab A3-A20?,10.1 inches 
How many pixels does the display of Acer Iconia Tab A3-A20 have?,10.1 inches 
What is the display size of Acer Iconia Tab A3-A20?,1280 x 800 pixels 
How big is the display on Acer Iconia Tab A3-A20?,1280 x 800 pixels 
What is the diagonal size of the display on Acer Iconia Tab A3-A20?,1280 x 800 pixels 
What is the operating system of Acer Iconia Tab A3-A20?,Android 4.4 
Which operating system does Acer Iconia Tab A3-A20 use?,Android 4.4 
What is the software platform on Acer Iconia Tab A3-A20?,Android 4.4 
What is the CPU of Acer Iconia Tab A3-A20?,Quad-core 1.3 GHz Cortex-A7
What kind of processor does Acer Iconia Tab A3-A20 have?,Quad-core 1.3 GHz Cortex-A7
Which CPU is used in Acer Iconia Tab A3-A20?,Quad-core 1.3 GHz Cortex-A7
How much RAM does Acer Iconia Tab A3-A20 have?,16 GB
What is the memory capacity of Acer Iconia Tab A3-A20?,16 GB
What is the RAM size on Acer Iconia Tab A3-A20?,16 GB
What is the resolution of the front camera on Acer Iconia Tab A3-A20?,5 MP| autofocus
How many megapixels is the front camera on Acer Iconia Tab A3-A20?,5 MP| autofocus
What is the quality of the front-facing camera on Acer Iconia Tab A3-A20?,5 MP| autofocus
What is the price of Acer Iconia Tab A3-A20?,190.0
How much does Acer Iconia Tab A3-A20 cost?,190.0
What is the price tag of Acer Iconia Tab A3-A20?,190.0
What is the published year of Acer Iconia Tab A3-A20FHD?,2014
When was Acer Iconia Tab A3-A20FHD published?,2014
In which year was Acer Iconia Tab A3-A20FHD released?,2014
What is the display resolution of Acer Iconia Tab A3-A20FHD?,10.1 inches 
What is the resolution of the display on Acer Iconia Tab A3-A20FHD?,10.1 inches 
How many pixels does the display of Acer Iconia Tab A3-A20FHD have?,10.1 inches 
What is the display size of Acer Iconia Tab A3-A20FHD?,1920 x 1200 pixels 
How big is the display on Acer Iconia Tab A3-A20FHD?,1920 x 1200 pixels 
What is the diagonal size of the display on Acer Iconia Tab A3-A20FHD?,1920 x 1200 pixels 
What is the operating system of Acer Iconia Tab A3-A20FHD?,Android 4.4 
Which operating system does Acer Iconia Tab A3-A20FHD use?,Android 4.4 
What is the software platform on Acer Iconia Tab A3-A20FHD?,Android 4.4 
What is the CPU of Acer Iconia Tab A3-A20FHD?,Quad-core 1.5 GHz Cortex-A7
What kind of processor does Acer Iconia Tab A3-A20FHD have?,Quad-core 1.5 GHz Cortex-A7
Which CPU is used in Acer Iconia Tab A3-A20FHD?,Quad-core 1.5 GHz Cortex-A7
How much RAM does Acer Iconia Tab A3-A20FHD have?,32 GB
What is the memory capacity of Acer Iconia Tab A3-A20FHD?,32 GB
What is the RAM size on Acer Iconia Tab A3-A20FHD?,32 GB
What is the resolution of the front camera on Acer Iconia Tab A3-A20FHD?,5 MP| autofocus
How many megapixels is the front camera on Acer Iconia Tab A3-A20FHD?,5 MP| autofocus
What is the quality of the front-facing camera on Acer Iconia Tab A3-A20FHD?,5 MP| autofocus
What is the price of Acer Iconia Tab A3-A20FHD?,230.0
How much does Acer Iconia Tab A3-A20FHD cost?,230.0
What is the price tag of Acer Iconia Tab A3-A20FHD?,230.0
What is the published year of Acer Liquid Jade Z?,2015
When was Acer Liquid Jade Z published?,2015
In which year was Acer Liquid Jade Z released?,2015
What is the display resolution of Acer Liquid Jade Z?,5.0 inches 
What is the resolution of the display on Acer Liquid Jade Z?,5.0 inches 
How many pixels does the display of Acer Liquid Jade Z have?,5.0 inches 
What is the display size of Acer Liquid Jade Z?,720 x 1280 pixels 
How big is the display on Acer Liquid Jade Z?,720 x 1280 pixels 
What is the diagonal size of the display on Acer Liquid Jade Z?,720 x 1280 pixels 
What is the operating system of Acer Liquid Jade Z?,Android 5.0 
Which operating system does Acer Liquid Jade Z use?,Android 5.0 
What is the software platform on Acer Liquid Jade Z?,Android 5.0 
What is the CPU of Acer Liquid Jade Z?,Quad-core 1.5 GHz Cortex-A53
What kind of processor does Acer Liquid Jade Z have?,Quad-core 1.5 GHz Cortex-A53
Which CPU is used in Acer Liquid Jade Z?,Quad-core 1.5 GHz Cortex-A53
How much RAM does Acer Liquid Jade Z have?,8 GB
What is the memory capacity of Acer Liquid Jade Z?,8 GB
What is the RAM size on Acer Liquid Jade Z?,8 GB
What is the resolution of the front camera on Acer Liquid Jade Z?,13 MP| f/1.8| autofocus| LED flash
How many megapixels is the front camera on Acer Liquid Jade Z?,13 MP| f/1.8| autofocus| LED flash
What is the quality of the front-facing camera on Acer Liquid Jade Z?,13 MP| f/1.8| autofocus| LED flash
What is the price of Acer Liquid Jade Z?,200.0
How much does Acer Liquid Jade Z cost?,200.0
What is the price tag of Acer Liquid Jade Z?,200.0
What is the published year of Acer Liquid Z520?,2015
When was Acer Liquid Z520 published?,2015
In which year was Acer Liquid Z520 released?,2015
What is the display resolution of Acer Liquid Z520?,5.0 inches 
What is the resolution of the display on Acer Liquid Z520?,5.0 inches 
How many pixels does the display of Acer Liquid Z520 have?,5.0 inches 
